"","sampleID","run.line","d15N","d13C","N_percent","C_percent","run.ID","date_packed","row","position","weight_packed..mg.","CN_ratio","row.id","fishID","rep"
"1","G01A",6,11.4,-13.9,0.083,0.273,"Nick Moran 2020 0417 201025 set 1","28-07-2020","A",1,0.47,3.28915662650602,1,"G01","A"
"2","G02A",7,11.2,-14.9,0.086,0.277,"Nick Moran 2020 0417 201025 set 1","28-07-2020","A",2,0.54,3.22093023255814,2,"G02","A"
"3","G02B",31,10.6,-15.4,0.082,0.269,"Nick Moran 2020 0417 201025 set 2","28-07-2020","A",3,0.57,3.28048780487805,2,"G02","B"
"4","G02C",6,10.8,-15.1,0.098,0.331,"Nick Moran 2020 0417 201107 set 3","28-07-2020","A",4,0.47,3.37755102040816,2,"G02","C"
"5","G03A",8,11,-14.9,0.086,0.283,"Nick Moran 2020 0417 201025 set 1","28-07-2020","A",5,0.53,3.2906976744186,3,"G03","A"
"6","G04A",9,11.1,-14.7,0.133,0.448,"Nick Moran 2020 0417 201025 set 1","28-07-2020","A",6,0.47,3.36842105263158,4,"G04","A"
"7","G05A",10,9.8,-15,0.076,0.239,"Nick Moran 2020 0417 201025 set 1","28-07-2020","A",7,0.48,3.14473684210526,5,"G05","A"
"8","G06A",11,12.1,-15.4,0.076,0.26,"Nick Moran 2020 0417 201025 set 1","28-07-2020","A",8,0.48,3.42105263157895,6,"G06","A"
"9","G06B",32,10.9,-15.2,0.098,0.333,"Nick Moran 2020 0417 201025 set 2","28-07-2020","A",9,0.47,3.39795918367347,6,"G06","B"
"10","G06C",7,11.5,-15.3,0.089,0.331,"Nick Moran 2020 0417 201107 set 3","28-07-2020","A",10,0.47,3.71910112359551,6,"G06","C"
"11","G07A",12,10.8,-13.5,0.095,0.307,"Nick Moran 2020 0417 201025 set 1","28-07-2020","A",11,0.58,3.23157894736842,7,"G07","A"
"12","G08A",13,10.5,-17.5,0.099,0.346,"Nick Moran 2020 0417 201025 set 1","28-07-2020","A",12,0.52,3.49494949494949,8,"G08","A"
"13","G09A",14,11.7,-16.4,0.08,0.269,"Nick Moran 2020 0417 201025 set 1","28-07-2020","B",1,0.57,3.3625,9,"G09","A"
"14","G10A",15,11.8,-18.7,0.087,0.297,"Nick Moran 2020 0417 201025 set 1","28-07-2020","B",2,0.56,3.41379310344828,10,"G10","A"
"15","G10B",33,11.8,-19.3,0.11,0.383,"Nick Moran 2020 0417 201025 set 2","28-07-2020","B",3,0.47,3.48181818181818,10,"G10","B"
"16","G10C",8,11.2,-18.7,0.098,0.345,"Nick Moran 2020 0417 201107 set 3","28-07-2020","B",4,0.54,3.52040816326531,10,"G10","C"
"17","G11A",16,11.7,-16.6,0.134,0.463,"Nick Moran 2020 0417 201025 set 1","28-07-2020","B",5,0.5,3.45522388059702,11,"G11","A"
"18","G12A",17,11.6,-16.8,0.128,0.437,"Nick Moran 2020 0417 201025 set 1","28-07-2020","B",6,0.48,3.4140625,12,"G12","A"
"19","G13A",18,11,-14.9,0.111,0.37,"Nick Moran 2020 0417 201025 set 1","28-07-2020","B",7,0.56,3.33333333333333,13,"G13","A"
"20","G13B",34,10.5,-15.2,0.103,0.342,"Nick Moran 2020 0417 201025 set 2","28-07-2020","B",8,0.51,3.32038834951456,13,"G13","B"
"21","G13C",9,10.3,-14.7,0.093,0.321,"Nick Moran 2020 0417 201107 set 3","28-07-2020","B",9,0.46,3.45161290322581,13,"G13","C"
"22","G14A",19,11.3,-17.1,0.119,0.407,"Nick Moran 2020 0417 201025 set 1","28-07-2020","B",10,0.53,3.42016806722689,14,"G14","A"
"23","G14B",35,11,-17.6,0.127,0.44,"Nick Moran 2020 0417 201025 set 2","28-07-2020","B",11,0.57,3.46456692913386,14,"G14","B"
"24","G14C",10,11.2,-17.2,0.117,0.417,"Nick Moran 2020 0417 201107 set 3","28-07-2020","B",12,0.56,3.56410256410256,14,"G14","C"
"25","G15A",20,10.9,-16.1,0.106,0.349,"Nick Moran 2020 0417 201025 set 1","28-07-2020","C",1,0.5,3.29245283018868,15,"G15","A"
"26","G16A",21,9.9,-13.4,0.071,0.232,"Nick Moran 2020 0417 201025 set 1","28-07-2020","C",2,0.54,3.26760563380282,16,"G16","A"
"27","G17A",22,10.7,-14.8,0.1,0.335,"Nick Moran 2020 0417 201025 set 1","29-07-2020","C",3,0.55,3.35,17,"G17","A"
"28","G17B",36,11.2,-15.4,0.136,0.468,"Nick Moran 2020 0417 201025 set 2","29-07-2020","C",4,0.46,3.44117647058824,17,"G17","B"
"29","G17C",11,11.1,-15.2,0.126,0.448,"Nick Moran 2020 0417 201107 set 3","29-07-2020","C",5,0.55,3.55555555555556,17,"G17","C"
"30","G18A",27,10.5,-17.9,0.106,0.352,"Nick Moran 2020 0417 201025 set 1","29-07-2020","C",6,0.51,3.32075471698113,18,"G18","A"
"31","G18B",37,10.6,-18.1,0.095,0.311,"Nick Moran 2020 0417 201025 set 2","29-07-2020","C",7,0.56,3.27368421052632,18,"G18","B"
"32","G18C",12,10.5,-18.4,0.077,0.269,"Nick Moran 2020 0417 201107 set 3","29-07-2020","C",8,0.48,3.49350649350649,18,"G18","C"
"33","G19A",28,11.8,-15.7,0.147,0.501,"Nick Moran 2020 0417 201025 set 1","29-07-2020","C",9,0.48,3.40816326530612,19,"G19","A"
"34","G20A",29,10.4,-14.1,0.081,0.259,"Nick Moran 2020 0417 201025 set 1","29-07-2020","C",10,0.6,3.19753086419753,20,"G20","A"
"35","G20B",38,10.5,-14.5,0.096,0.316,"Nick Moran 2020 0417 201025 set 2","29-07-2020","C",11,0.54,3.29166666666667,20,"G20","B"
"36","G20C",13,10.3,-14.2,0.101,0.342,"Nick Moran 2020 0417 201107 set 3","29-07-2020","C",12,0.56,3.38613861386139,20,"G20","C"
"37","G21A",30,9.9,-16,0.115,0.37,"Nick Moran 2020 0417 201025 set 1","29-07-2020","D",1,0.48,3.21739130434783,21,"G21","A"
"38","G22A",31,10.2,-16.4,0.105,0.351,"Nick Moran 2020 0417 201025 set 1","29-07-2020","D",2,0.47,3.34285714285714,22,"G22","A"
"39","G23A",32,10.2,-16.9,0.104,0.347,"Nick Moran 2020 0417 201025 set 1","29-07-2020","D",3,0.55,3.33653846153846,23,"G23","A"
"40","G24A",33,12.1,-16.8,0.12,0.408,"Nick Moran 2020 0417 201025 set 1","29-07-2020","D",4,0.6,3.4,24,"G24","A"
"41","G24B",14,11.8,-17,0.091,0.321,"Nick Moran 2020 0417 201107 set 3","29-07-2020","D",5,0.55,3.52747252747253,24,"G24","B"
"42","G24C",15,11.3,-17.2,0.097,0.344,"Nick Moran 2020 0417 201107 set 3","29-07-2020","D",6,0.48,3.54639175257732,24,"G24","C"
"43","G25A",34,11.5,-14.8,0.121,0.397,"Nick Moran 2020 0417 201025 set 1","29-07-2020","D",7,0.56,3.28099173553719,25,"G25","A"
"44","G26A",35,12.9,-17.2,0.078,0.255,"Nick Moran 2020 0417 201025 set 1","29-07-2020","D",8,0.47,3.26923076923077,26,"G26","A"
"45","G26B",39,12.6,-16.9,0.087,0.289,"Nick Moran 2020 0417 201025 set 2","29-07-2020","D",9,0.59,3.32183908045977,26,"G26","B"
"46","G26C",16,11.9,-16.5,0.047,0.163,"Nick Moran 2020 0417 201107 set 3","29-07-2020","D",10,0.58,3.46808510638298,26,"G26","C"
"47","G27A",36,11.7,-17.2,0.129,0.442,"Nick Moran 2020 0417 201025 set 1","29-07-2020","D",11,0.59,3.42635658914729,27,"G27","A"
"48","G28A",37,12,-17.1,0.14,0.484,"Nick Moran 2020 0417 201025 set 1","29-07-2020","D",12,0.49,3.45714285714286,28,"G28","A"
"49","G28B",40,11.8,-17.4,0.12,0.422,"Nick Moran 2020 0417 201025 set 2","29-07-2020","E",1,0.57,3.51666666666667,28,"G28","B"
"50","G28C",17,11.8,-17.2,0.123,0.448,"Nick Moran 2020 0417 201107 set 3","29-07-2020","E",2,0.55,3.64227642276423,28,"G28","C"
"51","G29A",38,11,-17,0.124,0.432,"Nick Moran 2020 0417 201025 set 1","29-07-2020","E",3,0.53,3.48387096774194,29,"G29","A"
"52","G30A",39,11,-13.5,0.104,0.338,"Nick Moran 2020 0417 201025 set 1","29-07-2020","E",4,0.57,3.25,30,"G30","A"
"53","G31A",40,10.7,-17.2,0.127,0.433,"Nick Moran 2020 0417 201025 set 1","29-07-2020","E",5,0.49,3.40944881889764,31,"G31","A"
"54","G32A",41,12,-16.2,0.132,0.469,"Nick Moran 2020 0417 201025 set 1","29-07-2020","E",6,0.46,3.5530303030303,32,"G32","A"
"55","G33A",42,10.8,-15.3,0.108,0.363,"Nick Moran 2020 0417 201025 set 1","29-07-2020","E",7,0.48,3.36111111111111,33,"G33","A"
"56","G34A",43,13.3,-21.9,0.073,0.244,"Nick Moran 2020 0417 201025 set 1","29-07-2020","E",8,0.49,3.34246575342466,34,"G34","A"
"57","G34B",18,13.7,-22.3,0.09,0.315,"Nick Moran 2020 0417 201107 set 3","29-07-2020","E",9,0.48,3.5,34,"G34","B"
"58","G34C",19,13.5,-22.1,0.073,0.25,"Nick Moran 2020 0417 201107 set 3","29-07-2020","E",10,0.55,3.42465753424658,34,"G34","C"
"59","G35A",6,11.2,-18,0.097,0.34,"Nick Moran 2020 0417 201025 set 2","29-07-2020","E",11,0.52,3.50515463917526,35,"G35","A"
"60","G35B",24,10.8,-17.5,0.094,0.324,"Nick Moran 2020 0417 201107 set 3","29-07-2020","E",12,0.49,3.4468085106383,35,"G35","B"
"61","G35C",25,10.6,-17.4,0.111,0.38,"Nick Moran 2020 0417 201107 set 3","29-07-2020","F",1,0.49,3.42342342342342,35,"G35","C"
"62","G36A",7,11.4,-17.7,0.121,0.431,"Nick Moran 2020 0417 201025 set 2","29-07-2020","F",2,0.49,3.56198347107438,36,"G36","A"
"63","G37A",8,10.7,-18.3,0.096,0.329,"Nick Moran 2020 0417 201025 set 2","29-07-2020","F",3,0.51,3.42708333333333,37,"G37","A"
"64","G38A",9,11.3,-15,0.098,0.338,"Nick Moran 2020 0417 201025 set 2","29-07-2020","F",4,0.56,3.44897959183673,38,"G38","A"
"65","G39A",10,10.9,-14.6,0.115,0.399,"Nick Moran 2020 0417 201025 set 2","29-07-2020","F",5,0.59,3.4695652173913,39,"G39","A"
"66","G40A",11,10.1,-18.1,0.089,0.306,"Nick Moran 2020 0417 201025 set 2","29-07-2020","F",6,0.55,3.43820224719101,40,"G40","A"
"67","G41A",12,11,-15.4,0.136,0.471,"Nick Moran 2020 0417 201025 set 2","29-07-2020","F",7,0.6,3.46323529411765,41,"G41","A"
"68","G41B",26,10.1,-15,0.132,0.453,"Nick Moran 2020 0417 201107 set 3","29-07-2020","F",8,0.52,3.43181818181818,41,"G41","B"
"69","G41C",27,10.3,-15.3,0.126,0.433,"Nick Moran 2020 0417 201107 set 3","29-07-2020","F",9,0.51,3.43650793650794,41,"G41","C"
"70","G42A",13,10.6,-17.4,0.12,0.41,"Nick Moran 2020 0417 201025 set 2","29-07-2020","F",10,0.59,3.41666666666667,42,"G42","A"
"71","G43A",14,10.8,-15.4,0.085,0.292,"Nick Moran 2020 0417 201025 set 2","29-07-2020","F",11,0.49,3.43529411764706,43,"G43","A"
"72","G44A",15,11.7,-16.8,0.116,0.402,"Nick Moran 2020 0417 201025 set 2","29-07-2020","F",12,0.6,3.46551724137931,44,"G44","A"
"73","G44B",28,11.3,-16.4,0.119,0.418,"Nick Moran 2020 0417 201107 set 3","29-07-2020","G",1,0.51,3.51260504201681,44,"G44","B"
"74","G44C",29,11.8,-16.7,0.112,0.396,"Nick Moran 2020 0417 201107 set 3","29-07-2020","G",2,0.54,3.53571428571429,44,"G44","C"
"75","G45A",16,10.3,-16.5,0.083,0.291,"Nick Moran 2020 0417 201025 set 2","29-07-2020","G",3,0.51,3.50602409638554,45,"G45","A"
"76","G46A",17,11.9,-18,0.13,0.467,"Nick Moran 2020 0417 201025 set 2","29-07-2020","G",4,0.59,3.59230769230769,46,"G46","A"
"77","G46B",30,11.9,-17.6,0.12,0.423,"Nick Moran 2020 0417 201107 set 3","29-07-2020","G",5,0.5,3.525,46,"G46","B"
"78","G46C",31,12.2,-17.7,0.101,0.365,"Nick Moran 2020 0417 201107 set 3","29-07-2020","G",6,0.49,3.61386138613861,46,"G46","C"
"79","G47A",18,11.7,-18.2,0.13,0.44,"Nick Moran 2020 0417 201025 set 2","29-07-2020","G",7,0.46,3.38461538461538,47,"G47","A"
"80","G48A",19,9.7,-13.8,0.091,0.292,"Nick Moran 2020 0417 201025 set 2","29-07-2020","G",8,0.48,3.20879120879121,48,"G48","A"
"81","G49A",20,10.5,-15.8,0.114,0.398,"Nick Moran 2020 0417 201025 set 2","29-07-2020","G",9,0.55,3.49122807017544,49,"G49","A"
"82","G49B",32,10.8,-15.6,0.112,0.4,"Nick Moran 2020 0417 201107 set 3","29-07-2020","G",10,0.56,3.57142857142857,49,"G49","B"
"83","G49C",33,10.6,-15.8,0.103,0.365,"Nick Moran 2020 0417 201107 set 3","29-07-2020","G",11,0.51,3.54368932038835,49,"G49","C"
"84","G50A",21,10.4,-14.9,0.094,0.307,"Nick Moran 2020 0417 201025 set 2","29-07-2020","G",12,0.51,3.26595744680851,50,"G50","A"
"85","G51A",26,11.5,-15.6,0.159,0.547,"Nick Moran 2020 0417 201025 set 2","29-07-2020","H",1,0.53,3.44025157232704,51,"G51","A"
"86","G51B",34,11.4,-15.4,0.101,0.352,"Nick Moran 2020 0417 201107 set 3","29-07-2020","H",2,0.56,3.48514851485148,51,"G51","B"
"87","G51C",35,11.2,-15.8,0.115,0.404,"Nick Moran 2020 0417 201107 set 3","29-07-2020","H",3,0.5,3.51304347826087,51,"G51","C"
"88","G52A",27,11.6,-15.2,0.129,0.455,"Nick Moran 2020 0417 201025 set 2","29-07-2020","H",4,0.56,3.52713178294574,52,"G52","A"
"89","G53A",28,12.1,-17.2,0.139,0.489,"Nick Moran 2020 0417 201025 set 2","29-07-2020","H",5,0.56,3.51798561151079,53,"G53","A"
"90","G53B",36,12,-17.1,0.118,0.42,"Nick Moran 2020 0417 201107 set 3","29-07-2020","H",6,0.59,3.5593220338983,53,"G53","B"
"91","G53C",37,12.2,-17.1,0.127,0.456,"Nick Moran 2020 0417 201107 set 3","29-07-2020","H",7,0.49,3.59055118110236,53,"G53","C"
"92","G54A",29,10.9,-18.7,0.054,0.174,"Nick Moran 2020 0417 201025 set 2","29-07-2020","H",8,0.54,3.22222222222222,54,"G54","A"
"93","G54B",38,10.8,-18.2,0.056,0.187,"Nick Moran 2020 0417 201107 set 3","29-07-2020","H",9,0.52,3.33928571428571,54,"G54","B"
"94","G54C",39,11,-18.3,0.059,0.196,"Nick Moran 2020 0417 201107 set 3","29-07-2020","H",10,0.6,3.32203389830509,54,"G54","C"
"95","G55A",30,11.5,-14.5,0.112,0.362,"Nick Moran 2020 0417 201025 set 2","29-07-2020","H",11,0.51,3.23214285714286,55,"G55","A"
