"","FishID","PITID","Treatment","Sex","TL","SL","Weight","ConditionFactor","InfectionScore","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","TankID.combo","avespeed_tot","avespeed_mob","propmoving","dist","timefrozen_tot","centretime50","centretime75","centretime100","centrescore","Notes"
"1","K01",NA,"Control","M",13.9,11.2,43,1.6011206355034,2,"12-11-2020","13:05","ACT","Day 2",4,"F","ACT5_4F","D_1","D",10.4,46.29,0.21,12979,913,8.3,0.766666666666667,0.0333333333333333,1.13502777777778,""
"2","K01",NA,"Control","M",13.9,11.2,43,1.6011206355034,2,"10-11-2020","10:30","ACT","Day 0",1,"A","ACT4_1A","D_1","D",15.01,56.63,0.25,18493,893,4.3,0,0,1.26536111111111,""
"3","K01",NA,"Control","M",13.9,11.2,43,1.6011206355034,2,"20-11-2020","13:18","ACT","Day 10",3,"E","ACT6_3E","D_1","D",7.6,61.02,0.1,9538,1101,8.36666666666667,1.43333333333333,0.433333333333333,1.61552777777778,""
"4","K02","1476","PIT+clip","M",15.8,13.4,53,1.34370709010849,2,"10-11-2020","10:30","ACT","Day 0",1,"B","ACT4_1B","D_1","D",21.47,54.85,0.38,26728,741,221.2,106.9,24.9333333333333,2.26834760369176,"some fin and scale loss"
"5","K02","1476","PIT+clip","M",15.8,13.4,53,1.34370709010849,2,"20-11-2020","13:18","ACT","Day 10",3,"B","ACT6_3B","D_1","D",6.57,34.32,0.15,8460,1097,1082.03333333333,552.2,249.033333333333,3.56780555555556,"some fin and scale loss"
"6","K02","1476","PIT+clip","M",15.8,13.4,53,1.34370709010849,2,"12-11-2020","13:05","ACT","Day 2",4,"D","ACT5_4D","D_1","D",13.19,40.66,0.3,16926,840,353.333333333333,111.266666666667,64.7,2.30805555555556,"some fin and scale loss"
"7","K03","1340","PITtagged","M",13.6,11.5,41,1.62992316303684,1,"12-11-2020","13:05","ACT","Day 2",4,"A","ACT5_4A","D_1","D",0.95,6.82,0.02,1381,1200,0,0,0,1.97769444444444,""
"8","K03","1340","PITtagged","M",13.6,11.5,41,1.62992316303684,1,"10-11-2020","10:30","ACT","Day 0",1,"C","ACT4_1C","D_1","D",7.55,52.99,0.13,9395,1091,267.3,145.266666666667,42.8333333333333,2.37683333333333,""
"9","K04","1262","PITtagged","F",13.5,11.3,37,1.50383579738861,3,"20-11-2020","13:18","ACT","Day 10",3,"D","ACT6_3D","D_1","D",11.74,34.44,0.31,15140,864,160.966666666667,40.5,22.1333333333333,1.99052777777778,""
"10","K04","1262","PITtagged","F",13.5,11.3,37,1.50383579738861,3,"12-11-2020","13:05","ACT","Day 2",4,"E","ACT5_4E","D_1","D",22.29,42.48,0.51,27906,473,596.766666666667,301.366666666667,172.266666666667,2.81352777777778,""
"11","K04","1262","PITtagged","F",13.5,11.3,37,1.50383579738861,3,"10-11-2020","10:30","ACT","Day 0",1,"D","ACT4_1D","D_1","D",18.67,47.05,0.38,23246,695,415.666666666667,195.366666666667,69.7666666666667,2.43405555555556,""
"12","K05","1370","PIT+clip","M",13.9,11.8,42,1.56388527188704,1,"10-11-2020","10:30","ACT","Day 0",1,"E","ACT4_1E","D_1","D",21.04,38.08,0.53,26649,517,149.8,54.7666666666667,35.4333333333333,1.97147222222222,""
"13","K05","1370","PIT+clip","M",13.9,11.8,42,1.56388527188704,1,"20-11-2020","13:18","ACT","Day 10",3,"C","ACT6_3C","D_1","D",2.98,14.92,0.09,4079,1178,566.466666666667,91,2,2.54955555555556,""
"14","K05","1370","PIT+clip","M",13.9,11.8,42,1.56388527188704,1,"12-11-2020","13:05","ACT","Day 2",4,"C","ACT5_4C","D_1","D",14.69,30.11,0.46,18753,690,183.666666666667,111.7,81.3,2.10202777777778,""
"15","K06",NA,"Control","F",12.8,10.7,35,1.66893005371094,2,"12-11-2020","13:05","ACT","Day 2",4,"B","ACT5_4B","D_1","D",17.46,41.46,0.4,22302,760,234.466666666667,85.9666666666667,29.9666666666667,2.08313888888889,""
"16","K06",NA,"Control","F",12.8,10.7,35,1.66893005371094,2,"20-11-2020","13:18","ACT","Day 10",3,"F","ACT6_3F","D_1","D",1.92,11.44,0.03,2713,1196,0,0,0,1.95908333333333,""
"17","K06",NA,"Control","F",12.8,10.7,35,1.66893005371094,2,"10-11-2020","10:30","ACT","Day 0",1,"F","ACT4_1F","D_1","D",19.08,46.08,0.4,23829,717,314.7,149.866666666667,76.8666666666667,2.37043536391744,""
"18","K07","1351","PITtagged","M",12.6,11,29,1.44972745123917,1,"12-11-2020","13:05","ACT","Day 2",4,"G","ACT5_4G","D_2","D",1.57,44.11,0.02,2055,1189,31.9666666666667,30.2666666666667,2.86666666666667,2.05163888888889,"some scale damage"
"19","K07","1351","PITtagged","M",12.6,11,29,1.44972745123917,1,"10-11-2020","10:30","ACT","Day 0",1,"G","ACT4_1G","D_2","D",1.17,15.13,0.02,1652,1191,7.16666666666667,6.2,5.16666666666667,2.01166666666667,"some scale damage"
"20","K08","1439","PITtagged","M",12.9,11.1,36,1.67700118647834,1,"12-11-2020","14:10","ACT","Day 2",5,"B","ACT5_5B","D_2","D",14.81,54.8,0.26,18351,846,202.733333333333,135.633333333333,60.8333333333333,1.70436111111111,"some scale damage"
"21","K08","1439","PITtagged","M",12.9,11.1,36,1.67700118647834,1,"10-11-2020","10:30","ACT","Day 0",1,"H","ACT4_1H","D_2","D",35.66,60.42,0.58,43739,449,759.866666666667,438.333333333333,226.566666666667,3.07475,"some scale damage"
"22","K08","1439","PITtagged","M",12.9,11.1,36,1.67700118647834,1,"20-11-2020","13:18","ACT","Day 10",3,"H","ACT6_3H","D_2","D",6.57,34.32,0.15,8460,1097,1082.03333333333,552.2,249.033333333333,3.56780555555556,"some scale damage"
"23","K09","1422","PIT+clip","M",17.2,14.7,84,1.65079804293962,2,"12-11-2020","14:10","ACT","Day 2",5,"D","ACT5_5D","D_2","D",11.81,47.34,0.23,14980,954,342.366666666667,99.6666666666667,79.1666666666667,2.42077777777778,"some scale damage"
"24","K09","1422","PIT+clip","M",17.2,14.7,84,1.65079804293962,2,"10-11-2020","12:00","ACT","Day 0",2,"A","ACT4_2A","D_2","D",37.22,58.46,0.62,46538,382,398.4,165,73.1666666666667,2.47997222222222,"some scale damage"
"25","K10","1376","PIT+clip","M",13.9,11.9,44,1.63835599911976,2,"20-11-2020","14:19","ACT","Day 10",4,"A","ACT6_4A","D_2","D",1.98,6.21,0.06,2938,1200,1200,1200,1200,5,""
"26","K10","1376","PIT+clip","M",13.9,11.9,44,1.63835599911976,2,"12-11-2020","14:10","ACT","Day 2",5,"A","ACT5_5A","D_2","D",31.24,55.06,0.55,38771,418,480.133333333333,179.6,88.7333333333333,2.55844625615626,""
"27","K10","1376","PIT+clip","M",13.9,11.9,44,1.63835599911976,2,"10-11-2020","12:00","ACT","Day 0",2,"B","ACT4_2B","D_2","D",25.9,52.36,0.48,31944,506,386.533333333333,165.333333333333,61.4666666666667,2.47601547927281,""
"28","K11",NA,"Control","M",15,12.8,60,1.77777777777778,1,"20-11-2020","13:18","ACT","Day 10",3,"G","ACT6_3G","D_2","D",3.12,26.75,0.07,4229,1164,369.7,178.8,12.6666666666667,2.46763888888889,""
"29","K11",NA,"Control","M",15,12.8,60,1.77777777777778,1,"10-11-2020","12:00","ACT","Day 0",2,"C","ACT4_2C","D_2","D",31.36,51.54,0.59,38890,334,192.366666666667,72.1333333333333,29.2666666666667,2.07675,""
"30","K11",NA,"Control","M",15,12.8,60,1.77777777777778,1,"12-11-2020","13:05","ACT","Day 2",4,"H","ACT5_4H","D_2","D",37.57,58.51,0.63,46309,272,163.833333333333,47.9,14.5333333333333,2.00925,""
"31","K12",NA,"Control","M",15,12.9,48,1.42222222222222,2,"12-11-2020","14:10","ACT","Day 2",5,"C","ACT5_5C","D_2","D",1.64,7.54,0.03,2375,1198,0,0,0,1.10963888888889,"darker"
"32","K12",NA,"Control","M",15,12.9,48,1.42222222222222,2,"10-11-2020","12:00","ACT","Day 0",2,"D","ACT4_2D","D_2","D",1.92,7.98,0.04,2804,1191,0,0,0,1.2705,"darker"
"33","K13","1264","PIT+clip","F",13.8,11.5,40,1.52202831581479,3,"10-11-2020","12:00","ACT","Day 0",2,"E","ACT4_2E","D_3","D",35.8,58.28,0.6,44102,322,639.3,443.166666666667,259.8,3.03261111111111,""
"34","K13","1264","PIT+clip","F",13.8,11.5,40,1.52202831581479,3,"12-11-2020","14:10","ACT","Day 2",5,"E","ACT5_5E","D_3","D",34.14,54.71,0.61,42233,363,508.033333333333,356.2,251.366666666667,2.78625,""
"35","K13","1264","PIT+clip","F",13.8,11.5,40,1.52202831581479,3,"20-11-2020","14:19","ACT","Day 10",4,"D","ACT6_4D","D_3","D",11.94,46.75,0.23,14984,1010,965.966666666667,639.466666666667,339.366666666667,3.60580555555556,""
"36","K14","1265","PIT+clip","M",17.1,14.9,72,1.4399392345643,1,"20-11-2020","14:19","ACT","Day 10",4,"E","ACT6_4E","D_3","D",1.9,11.32,0.04,2745,1191,0.166666666666667,0,0,1.75480555555556,""
"37","K14","1265","PIT+clip","M",17.1,14.9,72,1.4399392345643,1,"12-11-2020","14:10","ACT","Day 2",5,"F","ACT5_5F","D_3","D",27.31,40.92,0.64,35745,264,235,95.1,51.5,2.24629729652898,""
"38","K14","1265","PIT+clip","M",17.1,14.9,72,1.4399392345643,1,"10-11-2020","12:00","ACT","Day 0",2,"F","ACT4_2F","D_3","D",36.6,54.33,0.66,45820,299,337.533333333333,131.533333333333,65.9666666666667,2.37079947133095,""
"39","K15","1375","PITtagged","M",13.6,11.3,39,1.55041471605943,1,"10-11-2020","12:00","ACT","Day 0",2,"G","ACT4_2G","D_3","D",62.42,76.37,0.81,76174,0,178.266666666667,71.9,33.0666666666667,1.97127777777778,"minor scale damage"
"40","K15","1375","PITtagged","M",13.6,11.3,39,1.55041471605943,1,"20-11-2020","14:19","ACT","Day 10",4,"C","ACT6_4C","D_3","D",7.08,35.46,0.15,9001,1129,1117.43333333333,546.966666666667,224.733333333333,3.57344444444444,"minor scale damage"
"41","K15","1375","PITtagged","M",13.6,11.3,39,1.55041471605943,1,"12-11-2020","15:15","ACT","Day 2",6,"A","ACT5_6A","D_3","D",42.46,57.05,0.73,52319,152,177.066666666667,55.1666666666667,32.7,1.95760866491332,"minor scale damage"
"42","K16",NA,"Control","M",12.9,10.8,30,1.39750098873195,1,"12-11-2020","14:10","ACT","Day 2",5,"G","ACT5_5G","D_3","D",5.23,46.44,0.1,6544,1099,121.766666666667,32.4,8.93333333333333,1.81541666666667,""
"43","K16",NA,"Control","M",12.9,10.8,30,1.39750098873195,1,"10-11-2020","12:00","ACT","Day 0",2,"H","ACT4_2H","D_3","D",27.82,51.17,0.53,34467,472,164.466666666667,49.9,24.7666666666667,1.96947222222222,""
"44","K16",NA,"Control","M",12.9,10.8,30,1.39750098873195,1,"20-11-2020","14:19","ACT","Day 10",4,"F","ACT6_4F","D_3","D",1.86,7.25,0.07,2667,1197,0,0,0,1.63805555555556,""
"45","K17",NA,"Control","M",16.8,14.1,71,1.49737474354821,1,"10-11-2020","13:20","ACT","Day 0",3,"A","ACT4_3A","D_3","D",32.19,51.21,0.61,40274,398,279.966666666667,39.2333333333333,8.5,2.16197222222222,""
"46","K17",NA,"Control","M",16.8,14.1,71,1.49737474354821,1,"12-11-2020","14:10","ACT","Day 2",5,"H","ACT5_5H","D_3","D",28.41,47.84,0.58,36118,435,121.833333333333,47.0666666666667,17.4666666666667,1.95966666666667,""
"47","K17",NA,"Control","M",16.8,14.1,71,1.49737474354821,1,"20-11-2020","14:19","ACT","Day 10",4,"B","ACT6_4B","D_3","D",2.46,6.75,0.07,3436,1200,1200,0,0,3,""
"48","K18","1380","PITtagged","M",13.3,11.2,38,1.61520880611841,2,"10-11-2020","13:20","ACT","Day 0",3,"B","ACT4_3B","D_3","D",34.63,67.54,0.5,42384,568,272.066666666667,90.0666666666667,45.3,2.24011472488305,"small wound"
"49","K18","1380","PITtagged","M",13.3,11.2,38,1.61520880611841,2,"12-11-2020","15:15","ACT","Day 2",6,"B","ACT5_6B","D_3","D",15.57,53.03,0.28,19257,918,451.066666666667,161.7,78.1333333333333,2.49652777777778,"small wound"
"50","K19","1256","PITtagged","M",12.1,10.7,21,1.18539525311293,1,"12-11-2020","15:15","ACT","Day 2",6,"G","ACT5_6G","D_4","D",17.89,46,0.37,22375,803,267.833333333333,115.966666666667,48.6666666666667,2.21173199888796,""
"51","K19","1256","PITtagged","M",12.1,10.7,21,1.18539525311293,1,"10-11-2020","13:20","ACT","Day 0",3,"C","ACT4_3C","D_4","D",28.21,56.51,0.48,35070,595,118.7,42.7,15.3333333333333,1.88559156579461,""
"52","K20",NA,"Control","M",11.5,9.9,30,1.97254869729596,2,"10-11-2020","13:20","ACT","Day 0",3,"D","ACT4_3D","D_4","D",29.58,46.21,0.63,36745,282,451.566666666667,248.966666666667,156.133333333333,2.51755555555556,""
"53","K20",NA,"Control","M",11.5,9.9,30,1.97254869729596,2,"12-11-2020","15:15","ACT","Day 2",6,"F","ACT5_6F","D_4","D",30.09,42.8,0.69,37608,226,222.466666666667,137.5,84.8666666666667,1.99765926845089,""
"54","K20",NA,"Control","M",11.5,9.9,30,1.97254869729596,2,"20-11-2020","14:19","ACT","Day 10",4,"H","ACT6_4H","D_4","D",16.4,45.29,0.34,20562,867,535.233333333333,326.5,134.666666666667,2.68272222222222,""
"55","K21","1434","PITtagged","F",10.1,8.7,14,1.3588262070987,1,"10-11-2020","13:20","ACT","Day 0",3,"E","ACT4_3E","D_4","D",29.54,51.9,0.55,36574,484,76,13.1666666666667,4.36666666666667,1.60275574827409,""
"56","K21","1434","PITtagged","F",10.1,8.7,14,1.3588262070987,1,"20-11-2020","15:04","ACT","Day 10",5,"B","ACT6_5B","D_4","D",3.98,33.91,0.08,5154,1171,647.133333333333,28.1666666666667,24.6666666666667,2.58075,""
"57","K21","1434","PITtagged","F",10.1,8.7,14,1.3588262070987,1,"12-11-2020","15:15","ACT","Day 2",6,"H","ACT5_6H","D_4","D",22.88,43.77,0.49,28511,559,216.066666666667,78.6333333333333,40.7333333333333,1.79311439455154,""
"58","K22","1332","PIT+clip","M",13.4,11.5,39,1.62087756805192,3,"20-11-2020","15:04","ACT","Day 10",5,"A","ACT6_5A","D_4","D",7.55,38.34,0.16,9655,1090,1020.26666666667,579.6,503.166666666667,3.73747222222222,"some scale loss and some bleeding with PIT"
"59","K22","1332","PIT+clip","M",13.4,11.5,39,1.62087756805192,3,"12-11-2020","15:15","ACT","Day 2",6,"E","ACT5_6E","D_4","D",20.49,42.11,0.47,25557,609,251.733333333333,160.766666666667,116.3,2.20820127884348,"some scale loss and some bleeding with PIT"
"60","K22","1332","PIT+clip","M",13.4,11.5,39,1.62087756805192,3,"10-11-2020","13:20","ACT","Day 0",3,"F","ACT4_3F","D_4","D",36.34,57.59,0.62,44741,385,297.6,105.5,41.2333333333333,2.2443720049036,"some scale loss and some bleeding with PIT"
"61","K23",NA,"Control","M",13.5,11.2,32,1.30061474368745,3,"10-11-2020","13:20","ACT","Day 0",3,"G","ACT4_3G","D_4","D",68.97,87.81,0.78,84544,118,279.233333333333,88.9666666666667,29.3666666666667,2.15447018482897,"reproductive; changed treatment group for cont fish could be differentiated"
"62","K23",NA,"Control","M",13.5,11.2,32,1.30061474368745,3,"20-11-2020","14:19","ACT","Day 10",4,"G","ACT6_4G","D_4","D",13.64,51.34,0.24,17182,980,481.933333333333,112.8,42.5666666666667,2.50341666666667,"reproductive; changed treatment group for cont fish could be differentiated"
"63","K23",NA,"Control","M",13.5,11.2,32,1.30061474368745,3,"12-11-2020","15:15","ACT","Day 2",6,"D","ACT5_6D","D_4","D",47.83,66.23,0.71,59539,240,182.1,73.6666666666667,14.9666666666667,1.85062807987011,"reproductive; changed treatment group for cont fish could be differentiated"
